trial_within_subject,block,stimulus_id,feature1,feature2,feature3,feature4,feature5,category_feedback,agent_id,w1_true,w2_true,w3_true,w4_true,w5_true,c_true,log_c_true,bias_true,prob_cat1,sim_response,correct,performance
16,1,10010.jpg,1,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5150810143935379,1,0,0.3125
17,1,01111.jpg,0,1,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.511759460475857,1,0,0.29411764705882354
18,1,00110.jpg,0,0,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026308172425402,1,0,0.2777777777777778
19,1,10111.jpg,1,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5295087229382411,0,0,0.2631578947368421
20,1,10011.jpg,1,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5087935149345979,0,1,0.3
21,1,01010.jpg,0,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4812326509497131,1,0,0.2857142857142857
22,1,01100.jpg,0,1,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49322182977778456,1,0,0.2727272727272727
23,1,10100.jpg,1,0,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5213954997219608,1,1,0.30434782608695654
24,1,11011.jpg,1,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5073429926907178,0,1,0.3333333333333333
25,1,01110.jpg,0,1,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5031992894705338,1,0,0.32
26,1,00011.jpg,0,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46914351920899117,0,1,0.34615384615384615
27,1,11000.jpg,1,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026982846905932,0,1,0.37037037037037035
28,1,10000.jpg,1,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5008798679066071,0,1,0.39285714285714285
29,1,11010.jpg,1,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5056083032099731,1,0,0.3793103448275862
30,1,00000.jpg,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4650440371569606,0,1,0.4
31,1,11100.jpg,1,1,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5286070143949922,0,0,0.3870967741935484
32,1,10101.jpg,1,0,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5273426278128946,1,1,0.40625
33,2,01010.jpg,0,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4664364319835305,0,1,0.42424242424242425
34,2,10011.jpg,1,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4997227821569432,0,1,0.4411764705882353
35,2,01011.jpg,0,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46519396046126926,1,0,0.42857142857142855
36,2,10101.jpg,1,0,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5351530789402795,1,1,0.4444444444444444
37,2,11100.jpg,1,1,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5338756737723235,0,0,0.43243243243243246
38,2,10010.jpg,1,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4952257465675332,0,1,0.4473684210526316
39,2,10000.jpg,1,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5015530251090289,1,0,0.4358974358974359
40,2,01100.jpg,0,1,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5055971826965749,0,1,0.45
41,2,00011.jpg,0,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4640214571810055,0,1,0.4634146341463415
42,2,01000.jpg,0,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4696852234126661,0,1,0.47619047619047616
43,2,10100.jpg,1,0,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5362227394025809,0,0,0.46511627906976744
44,2,00110.jpg,0,0,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4982247559449928,1,0,0.45454545454545453
45,2,00000.jpg,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.47112376207172196,0,1,0.4666666666666667
46,2,10110.jpg,1,0,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5299571508798924,0,0,0.45652173913043476
47,2,11101.jpg,1,1,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5351734938012093,1,1,0.46808510638297873
48,2,11011.jpg,1,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49506749762274876,1,0,0.4583333333333333
49,2,01001.jpg,0,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46907347267212707,0,1,0.46938775510204084
50,2,01111.jpg,0,1,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4957443729697486,0,1,0.48
51,2,10001.jpg,1,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5031111609373349,1,0,0.47058823529411764
52,2,00010.jpg,0,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4642096211213872,1,0,0.46153846153846156
53,2,11000.jpg,1,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5019127914019165,1,0,0.4528301886792453
54,2,00100.jpg,0,0,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5058416089072347,1,0,0.4444444444444444
55,2,00001.jpg,0,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4695290237599482,1,0,0.43636363636363634
56,2,10111.jpg,1,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5312131300840663,1,1,0.44642857142857145
57,2,11111.jpg,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5316457537622776,0,0,0.43859649122807015
58,2,01101.jpg,0,1,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.502519357109671,0,1,0.4482758620689655
59,2,00111.jpg,0,0,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.501096837713706,0,1,0.4576271186440678
60,2,11010.jpg,1,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49730256466740524,0,1,0.4666666666666667
61,2,00101.jpg,0,0,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5024441466591277,0,1,0.47540983606557374
62,2,11001.jpg,1,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5007433666503593,0,1,0.4838709677419355
63,2,01110.jpg,0,1,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49799559610203226,1,0,0.47619047619047616
64,2,11110.jpg,1,1,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5303825734895371,1,1,0.484375
65,3,01101.jpg,0,1,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4991673608793959,1,0,0.47692307692307695
66,3,01100.jpg,0,1,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49838472134431205,0,1,0.48484848484848486
67,3,11110.jpg,1,1,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5327102889881699,1,1,0.4925373134328358
68,3,11000.jpg,1,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4999206698465462,0,1,0.5
69,3,10100.jpg,1,0,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5315508235792951,0,0,0.4927536231884058
70,3,00011.jpg,0,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4670803358431147,0,1,0.5
71,3,10001.jpg,1,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4983864932548496,1,0,0.49295774647887325
72,3,00111.jpg,0,0,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49837153283753277,0,1,0.5
73,3,10011.jpg,1,0,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49806350280382455,1,0,0.4931506849315068
74,3,11001.jpg,1,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49708005699102226,1,0,0.4864864864864865
75,3,01110.jpg,0,1,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.502357434974638,1,0,0.48
76,3,00100.jpg,0,0,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5013789983367807,0,1,0.4868421052631579
77,3,10110.jpg,1,0,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5342620526413693,0,0,0.4805194805194805
78,3,01011.jpg,0,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46556000062684055,0,1,0.48717948717948717
79,3,00001.jpg,0,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4646350116178328,0,1,0.4936708860759494
80,3,11010.jpg,1,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5029171051430174,0,1,0.5
81,3,10000.jpg,1,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5018465458257616,0,1,0.5061728395061729
82,3,01001.jpg,0,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4631227921530628,1,0,0.5
83,3,00010.jpg,0,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4715752056844174,0,1,0.5060240963855421
84,3,00000.jpg,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46865428584460045,0,1,0.5119047619047619
85,3,10111.jpg,1,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5326230815429086,0,0,0.5058823529411764
86,3,11111.jpg,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5324943196426771,1,1,0.5116279069767442
87,3,11100.jpg,1,1,1,0,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5310197105197615,1,1,0.5172413793103449
88,3,01010.jpg,0,1,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4695146113333328,1,0,0.5113636363636364
89,3,01000.jpg,0,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4657916664811011,0,1,0.5168539325842697
90,3,10010.jpg,1,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5016403400402152,0,1,0.5222222222222223
91,3,01111.jpg,0,1,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5007231733829198,0,1,0.5274725274725275
92,3,00101.jpg,0,0,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4974581894643314,0,1,0.532608695652174
93,3,11011.jpg,1,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49968737937325414,0,1,0.5376344086021505
94,3,00110.jpg,0,0,1,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5023417840161079,1,0,0.5319148936170213
95,3,10101.jpg,1,0,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5306816575288851,1,1,0.5368421052631579
96,3,11101.jpg,1,1,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5313000279541226,1,1,0.5416666666666666
1,1,11101.jpg,1,1,1,0,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,1,1
2,1,11111.jpg,1,1,1,1,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,0,0.5
3,1,00001.jpg,0,0,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,0.3333333333333333
4,1,00111.jpg,0,0,1,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.48781478307848414,1,0,0.25
5,1,00101.jpg,0,0,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46288078850945796,0,1,0.4
6,1,00100.jpg,0,0,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4543259340624787,1,0,0.3333333333333333
7,1,01001.jpg,0,1,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4931923983600477,1,0,0.2857142857142857
8,1,11110.jpg,1,1,1,1,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.556871556983772,0,0,0.25
9,1,01101.jpg,0,1,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4905318836480381,1,0,0.2222222222222222
10,1,00010.jpg,0,0,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4668645929406174,0,1,0.3
11,1,10110.jpg,1,0,1,1,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5278148766475643,0,0,0.2727272727272727
12,1,01000.jpg,0,1,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4690445379865154,0,1,0.3333333333333333
13,1,10001.jpg,1,0,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4874868132530659,1,0,0.3076923076923077
14,1,01011.jpg,0,1,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4831435330762337,1,0,0.2857142857142857
15,1,11001.jpg,1,1,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5000124380739439,0,1,0.3333333333333333
16,1,10010.jpg,1,0,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5150810143935379,1,0,0.3125
17,1,01111.jpg,0,1,1,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.511759460475857,1,0,0.29411764705882354
18,1,00110.jpg,0,0,1,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026308172425402,1,0,0.2777777777777778
19,1,10111.jpg,1,0,1,1,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5295087229382411,0,0,0.2631578947368421
20,1,10011.jpg,1,0,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5087935149345979,0,1,0.3
21,1,01010.jpg,0,1,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4812326509497131,1,0,0.2857142857142857
22,1,01100.jpg,0,1,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49322182977778456,1,0,0.2727272727272727
23,1,10100.jpg,1,0,1,0,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5213954997219608,1,1,0.30434782608695654
24,1,11011.jpg,1,1,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5073429926907178,0,1,0.3333333333333333
25,1,01110.jpg,0,1,1,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5031992894705338,1,0,0.32
26,1,00011.jpg,0,0,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46914351920899117,0,1,0.34615384615384615
27,1,11000.jpg,1,1,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026982846905932,0,1,0.37037037037037035
28,1,10000.jpg,1,0,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5008798679066071,0,1,0.39285714285714285
29,1,11010.jpg,1,1,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5056083032099731,1,0,0.3793103448275862
30,1,00000.jpg,0,0,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4650440371569606,0,1,0.4
31,1,11100.jpg,1,1,1,0,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5286070143949922,0,0,0.3870967741935484
32,1,10101.jpg,1,0,1,0,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5273426278128946,1,1,0.40625
33,2,01010.jpg,0,1,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4664364319835305,0,1,0.42424242424242425
34,2,10011.jpg,1,0,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4997227821569432,0,1,0.4411764705882353
35,2,01011.jpg,0,1,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46519396046126926,1,0,0.42857142857142855
36,2,10101.jpg,1,0,1,0,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5351530789402795,1,1,0.4444444444444444
37,2,11100.jpg,1,1,1,0,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5338756737723235,0,0,0.43243243243243246
38,2,10010.jpg,1,0,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4952257465675332,0,1,0.4473684210526316
39,2,10000.jpg,1,0,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5015530251090289,1,0,0.4358974358974359
40,2,01100.jpg,0,1,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5055971826965749,0,1,0.45
41,2,00011.jpg,0,0,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4640214571810055,0,1,0.4634146341463415
42,2,01000.jpg,0,1,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4696852234126661,0,1,0.47619047619047616
43,2,10100.jpg,1,0,1,0,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5362227394025809,0,0,0.46511627906976744
44,2,00110.jpg,0,0,1,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4982247559449928,1,0,0.45454545454545453
45,2,00000.jpg,0,0,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.47112376207172196,0,1,0.4666666666666667
46,2,10110.jpg,1,0,1,1,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5299571508798924,0,0,0.45652173913043476
47,2,11101.jpg,1,1,1,0,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5351734938012093,1,1,0.46808510638297873
48,2,11011.jpg,1,1,0,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49506749762274876,1,0,0.4583333333333333
49,2,01001.jpg,0,1,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46907347267212707,0,1,0.46938775510204084
50,2,01111.jpg,0,1,1,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4957443729697486,0,1,0.48
51,2,10001.jpg,1,0,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5031111609373349,1,0,0.47058823529411764
52,2,00010.jpg,0,0,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4642096211213872,1,0,0.46153846153846156
53,2,11000.jpg,1,1,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5019127914019165,1,0,0.4528301886792453
54,2,00100.jpg,0,0,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5058416089072347,1,0,0.4444444444444444
55,2,00001.jpg,0,0,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4695290237599482,1,0,0.43636363636363634
56,2,10111.jpg,1,0,1,1,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5312131300840663,1,1,0.44642857142857145
57,2,11111.jpg,1,1,1,1,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5316457537622776,0,0,0.43859649122807015
58,2,01101.jpg,0,1,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.502519357109671,0,1,0.4482758620689655
59,2,00111.jpg,0,0,1,1,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.501096837713706,0,1,0.4576271186440678
60,2,11010.jpg,1,1,0,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49730256466740524,0,1,0.4666666666666667
61,2,00101.jpg,0,0,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5024441466591277,0,1,0.47540983606557374
62,2,11001.jpg,1,1,0,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5007433666503593,0,1,0.4838709677419355
63,2,01110.jpg,0,1,1,1,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49799559610203226,1,0,0.47619047619047616
64,2,11110.jpg,1,1,1,1,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5303825734895371,1,1,0.484375
65,3,01101.jpg,0,1,1,0,1,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4991673608793959,1,0,0.47692307692307695
66,3,01100.jpg,0,1,1,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49838472134431205,0,1,0.48484848484848486
67,3,11110.jpg,1,1,1,1,0,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5327102889881699,1,1,0.4925373134328358
68,3,11000.jpg,1,1,0,0,0,0,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4999206698465462,0,1,0.5
